Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70
01-MFCC.csv,8.8931,1.9365108,7.9155116,4.719345,3.8476462,4.526266,5.8027587,3.9123907,4.088505,4.795608,5.7734885,5.0629354,5.2921596,5.002187,5.0017166,5.0160146,3.8582966,4.125563,4.5050087,5.75223,4.7278686,3.380679,6.446967,5.965007,5.143277,4.972179,4.671189,7.3432193,4.3135486,6.6107473,4.3182664,4.4746842,3.774727,5.7095637,5.5272155,5.252145,5.386596,4.031795,4.2133684,3.5720978,5.1501584,5.851141,4.075124,5.9746757,3.5390236,5.856744,4.1246595,5.117949,5.6338105,5.0020466,4.7937474,4.628698,3.9777226,6.181068,4.822256,4.1534047,4.894838,4.8991547,4.587099,3.309861,4.444878,4.0238714,4.2275662,4.7068753,4.8176928,4.9613175,4.3883867,4.3157907,4.3361406,4.6902137
02-MFCC.csv,8.957959,1.9967502,7.8707175,4.7291636,3.7650373,4.445549,5.803333,3.877908,4.128368,4.838057,5.7851124,5.036145,5.2697244,5.0089254,5.1190467,5.1279736,3.7750225,4.134945,4.4866457,5.733603,4.581976,3.2490053,6.462143,5.961841,5.128691,4.9673834,4.73852,7.4752455,4.339844,6.586942,4.331907,4.488092,3.6492298,5.6613197,5.4415894,5.200086,5.3859153,4.1104603,4.1713295,3.6113482,5.1438017,5.928156,4.2395597,5.8867517,3.4978812,5.8544183,4.0974255,5.1219864,5.597641,4.998727,4.789047,4.6185994,4.032524,6.247289,4.9004083,4.120826,4.8795757,5.0164304,4.49294,3.27998,4.4176435,4.075484,4.171618,4.7080593,4.7723293,4.981612,4.306699,4.2498474,4.360041,4.6816425
03-MFCC.csv,9.726459,1.2660651,7.489361,4.637799,4.3301663,4.70348,5.7015433,4.3094215,3.552937,5.2543716,5.356013,5.662377,5.7028103,5.4764924,5.049404,4.6148605,4.33963,3.5309532,4.913638,5.2167716,5.0687203,3.9204507,6.489046,6.307589,5.4995255,5.2726836,3.9097884,7.3394594,4.1029487,6.033765,4.777186,4.3013334,4.1122017,6.19896,5.171479,5.4691706,5.095104,4.1797633,4.347416,3.8783555,4.9924936,5.0902743,4.2849116,6.3203745,3.8046422,5.843687,3.3847134,4.59351,6.4969306,5.4793806,5.015957,4.1525836,3.6981335,5.837138,4.3688927,4.624782,4.976454,4.4935346,5.022194,3.2064905,4.724195,4.467395,4.7061825,5.2182794,5.245383,4.6169653,4.9913454,4.8369117,4.6909366,4.908067
04-MFCC.csv,9.831292,1.1806167,7.5092134,4.5439057,4.6125007,4.7672496,5.761021,4.1514063,3.4765866,5.16437,5.640287,5.4869246,5.5942817,5.267534,5.0002794,4.6087227,4.292294,3.5837195,4.9491534,5.580482,5.10107,3.9576087,6.3378344,6.45742,5.3228393,5.132461,3.7848792,7.1008043,4.242653,5.9625726,4.7680945,4.4622808,4.2656817,6.2041874,5.1727066,5.415508,5.209736,4.0701785,4.2259173,3.7372682,5.077883,5.3500547,4.1008515,6.3441987,3.8659885,6.050633,3.6306105,4.6698427,6.460416,5.4614215,4.9613748,4.4618936,3.781315,5.682826,4.408352,4.6777787,4.8776236,4.3311963,5.071671,3.384237,4.5265846,4.6335077,4.5378523,5.177149,5.1049623,4.668164,4.8595443,4.8661,4.802624,4.934037
05-MFCC.csv,8.456116,2.7013617,8.262747,4.496966,3.956055,4.720142,5.916905,3.8098454,3.9873083,4.652692,5.920141,5.0930133,5.1269865,4.926785,4.816692,4.7886887,3.996493,4.1203446,4.550983,6.0269074,4.974281,3.5727236,6.1366053,5.9675593,4.657041,4.571053,4.56561,6.895168,4.3026958,6.5659456,4.335098,4.5863895,3.8785415,5.905586,5.634126,5.2625175,5.539768,3.7936592,4.48706,3.2891688,5.291644,5.918219,3.6273746,6.0702004,3.8674273,6.1318274,4.7653728,5.129684,5.2974005,5.0517015,4.827763,4.850847,3.9238203,5.9350834,4.820126,4.106437,4.846845,4.6840754,4.71057,3.4078703,4.161654,3.9944143,4.905067,4.725895,4.6000795,4.814189,4.3406634,4.4988384,4.5653896,4.750223
06-MFCC.csv,9.742712,1.1636946,7.5213866,4.7178984,4.422756,4.6402044,5.7727656,4.2961483,3.368658,5.107622,5.7029333,5.5746055,5.647205,5.3869863,5.056514,4.637111,4.338243,3.4216516,4.951284,5.348972,5.170453,4.0262604,6.4273067,6.468092,5.3082776,5.129215,3.6661274,7.165359,4.1514044,6.0184307,4.857153,4.309114,4.250419,6.303904,5.1856785,5.403696,5.199406,4.11291,4.269529,3.921286,5.2497497,5.1848054,4.1053267,6.3026032,3.9355478,5.983107,3.6756403,4.673487,6.5379677,5.5897074,5.0037336,4.259283,3.7654626,5.6673875,4.3149977,4.7355037,5.014925,4.2502604,5.142056,3.224066,4.594719,4.567519,4.4179907,5.197302,5.2373104,4.6338844,5.0077424,4.891982,4.78526,4.9283533
07-MFCC.csv,9.243883,1.745091,7.765595,4.5846605,4.1969314,4.657132,5.810337,4.0084124,3.693091,4.9263744,5.834534,5.296259,5.386272,5.0764885,4.995101,4.761243,4.1280093,3.792228,4.761369,5.720533,5.0669765,3.729825,6.3023047,6.256625,5.06534,4.9181523,4.127694,7.0693073,4.2705097,6.2468576,4.6111426,4.486346,4.0517926,6.064346,5.3566036,5.2988415,5.35553,4.0003324,4.315084,3.6200225,5.2128725,5.6334705,3.944644,6.1860657,3.8740106,6.0626106,4.1136646,4.890186,5.997199,5.315985,4.904733,4.5758805,3.8895898,5.7867985,4.5915065,4.43832,4.887351,4.4952383,4.9439154,3.3358276,4.377815,4.368124,4.4917817,4.9643526,4.8948255,4.7662897,4.6164045,4.668626,4.7013965,4.8336406
08-MFCC.csv,9.775905,1.291794,7.552262,4.6724653,4.2288923,4.5858955,5.770795,4.220442,3.6539133,5.138186,5.4614058,5.517478,5.612882,5.4348593,5.096539,4.777487,4.1769133,3.6699026,4.7939553,5.3140516,4.932359,3.7475376,6.519189,6.2189503,5.4350743,5.187047,4.095582,7.4626985,4.1643834,6.255633,4.6402063,4.2983913,3.9567635,6.0375085,5.239217,5.3927407,5.1868296,4.2162566,4.303894,3.8960004,5.076829,5.2430325,4.2882643,6.149816,3.6963367,5.807225,3.3909483,4.7893114,6.3496356,5.3958716,4.91816,4.243513,3.7419221,5.9865084,4.5073476,4.51782,4.9947686,4.618414,4.8819304,3.210258,4.717681,4.3120356,4.5995193,5.0524783,5.162572,4.7267165,4.8409104,4.6617117,4.5673366,4.856155
09-MFCC.csv,8.375199,2.5943098,8.229918,4.498097,3.8974795,4.703784,5.8416696,3.781536,4.028644,4.64149,5.8799853,5.0333786,5.0981817,4.8730755,4.788809,4.7499647,4.021847,4.13314,4.505766,5.983297,4.956057,3.5682771,6.12563,5.949544,4.59705,4.5374103,4.5442114,6.8692727,4.2950263,6.4815993,4.381319,4.6191173,3.951944,5.977878,5.598165,5.252655,5.53688,3.7682157,4.5007753,3.2491841,5.307092,5.9599285,3.6253622,6.1445603,3.9638662,6.114672,4.825181,5.0795,5.2126007,5.018889,4.8904314,4.8443704,4.036333,5.837478,4.7950306,4.070476,4.8590107,4.642807,4.7538514,3.3595552,4.139742,4.0999465,4.7585278,4.73604,4.572913,4.817886,4.295561,4.5527487,4.608732,4.7189584
10-MFCC.csv,9.747501,1.2091,7.4034543,4.4050584,4.2572026,4.6413846,5.813106,4.1745934,3.3526864,5.275732,5.7339625,5.637745,5.55958,5.1915507,5.178378,4.6495495,4.3316603,3.4724867,5.062898,5.479587,5.3469167,3.9056733,6.326764,6.444172,5.43109,5.1716614,3.7751858,7.309388,4.199993,6.0203032,4.89344,4.378586,4.032805,6.2652516,5.1663995,5.3327036,5.2462416,4.225001,4.331368,3.9369726,5.204579,5.3589067,4.1698213,6.167692,3.987617,6.0893645,3.5649583,4.712296,6.5694723,5.6905594,4.9515624,4.3259745,3.6689093,5.6057634,4.4200606,4.7342796,4.8726654,4.2848377,5.1981244,3.2914164,4.5633364,4.593935,4.5226173,5.195373,5.02401,4.626287,4.8662124,4.9080515,4.9535427,4.994633
