Filename,UMAP_1,UMAP_2
01-MFCC.csv,1.8388844,5.190804
02-MFCC.csv,1.6672764,4.7282753
03-MFCC.csv,5.707995,6.4905167
04-MFCC.csv,5.29518,7.5611506
05-MFCC.csv,0.5432152,6.3339677
06-MFCC.csv,4.9793015,7.792084
07-MFCC.csv,2.3757377,7.1865106
08-MFCC.csv,4.7237816,6.124742
09-MFCC.csv,0.5697527,5.9982
10-MFCC.csv,5.901362,7.6898174
100-MFCC.csv,0.025470786,6.0878677
101-MFCC.csv,2.4629037,6.999352
102-MFCC.csv,5.717209,9.582049
103-MFCC.csv,5.489918,6.2237773
104-MFCC.csv,3.6605175,6.8867545
105-MFCC.csv,5.579574,9.679325
106-MFCC.csv,2.9463525,7.7272387
107-MFCC.csv,2.0890646,5.2506294
108-MFCC.csv,1.8843272,5.0427694
109-MFCC.csv,5.2312055,7.3884296
11-MFCC.csv,4.560757,7.8919573
110-MFCC.csv,3.6749735,8.083681
111-MFCC.csv,0.35675362,6.04656
112-MFCC.csv,5.357728,9.24485
113-MFCC.csv,5.395097,8.466809
114-MFCC.csv,3.936405,6.113219
115-MFCC.csv,3.0697129,8.092094
116-MFCC.csv,1.0971606,5.8151164
12-MFCC.csv,5.9598036,7.8282976
13-MFCC.csv,6.120028,9.067161
14-MFCC.csv,3.9442544,7.1655245
15-MFCC.csv,3.7969956,7.745667
16-MFCC.csv,1.6746848,4.5104446
17-MFCC.csv,1.4792308,4.542901
18-MFCC.csv,0.007593897,6.0813746
19-MFCC.csv,4.8800755,7.5362697
20-MFCC.csv,5.04559,6.3946505
21-MFCC.csv,3.7545378,7.268394
22-MFCC.csv,3.6531823,7.4116116
23-MFCC.csv,2.9053755,8.343928
24-MFCC.csv,5.650205,8.003842
25-MFCC.csv,4.638625,7.282273
26-MFCC.csv,0.2739805,5.7671647
27-MFCC.csv,1.4462214,5.252639
28-MFCC.csv,0.88426757,6.2571983
29-MFCC.csv,0.36188266,6.2747
30-MFCC.csv,4.511181,7.258525
31-MFCC.csv,2.5622342,4.8547134
32-MFCC.csv,6.0398693,8.577621
33-MFCC.csv,6.2221384,8.947521
34-MFCC.csv,3.952949,6.4560337
35-MFCC.csv,2.1006918,5.1621404
36-MFCC.csv,3.8004007,8.220726
37-MFCC.csv,4.119561,6.914895
38-MFCC.csv,5.564757,9.708908
39-MFCC.csv,5.8950915,9.3737335
40-MFCC.csv,3.6171184,8.53581
41-MFCC.csv,5.7729707,9.232404
42-MFCC.csv,5.6054115,8.532447
43-MFCC.csv,5.082192,8.921201
44-MFCC.csv,5.637715,6.384981
45-MFCC.csv,2.3685622,4.705919
46-MFCC.csv,0.38394734,6.5722466
47-MFCC.csv,5.683458,7.323585
48-MFCC.csv,4.526094,8.345966
49-MFCC.csv,5.1910706,8.03646
50-MFCC.csv,1.0589882,6.289714
51-MFCC.csv,-0.24835317,6.583045
52-MFCC.csv,5.633559,7.695438
53-MFCC.csv,4.5969157,6.2221146
54-MFCC.csv,3.9986224,7.714109
55-MFCC.csv,3.410562,6.8795524
56-MFCC.csv,6.142088,8.756203
57-MFCC.csv,4.0627522,7.431919
58-MFCC.csv,3.1293547,6.9760137
59-MFCC.csv,0.24765354,6.6980033
60-MFCC.csv,3.8215168,8.025883
61-MFCC.csv,2.2221487,5.495375
62-MFCC.csv,5.9518886,8.348563
63-MFCC.csv,0.17364652,6.349396
64-MFCC.csv,5.1319036,7.0258336
65-MFCC.csv,3.0342114,7.280716
66-MFCC.csv,1.1807935,6.794592
67-MFCC.csv,1.011928,6.656806
68-MFCC.csv,3.4699903,7.0605016
69-MFCC.csv,4.727556,6.508435
70-MFCC.csv,5.4264073,7.8104215
71-MFCC.csv,3.3662508,7.2563534
72-MFCC.csv,5.737782,8.745211
73-MFCC.csv,5.589336,7.3774743
74-MFCC.csv,5.8733287,6.908942
75-MFCC.csv,1.9549135,4.6610193
76-MFCC.csv,5.26908,7.359253
77-MFCC.csv,6.3017864,8.875533
78-MFCC.csv,5.118759,6.1930785
79-MFCC.csv,6.155411,8.393558
80-MFCC.csv,1.4131168,7.0964537
81-MFCC.csv,1.6346384,4.3744044
82-MFCC.csv,1.6594168,7.30481
83-MFCC.csv,0.99395317,6.089393
84-MFCC.csv,-0.21584626,6.384517
85-MFCC.csv,5.5191264,9.0326395
86-MFCC.csv,4.837587,6.3069644
87-MFCC.csv,2.103969,4.8814554
88-MFCC.csv,3.722673,6.6043096
89-MFCC.csv,5.147571,7.195439
90-MFCC.csv,1.8075664,4.7035894
91-MFCC.csv,6.2526174,8.67009
92-MFCC.csv,2.3151634,6.683439
93-MFCC.csv,-0.13205014,6.538459
94-MFCC.csv,2.78925,7.8303638
95-MFCC.csv,2.1157372,4.516383
96-MFCC.csv,0.50280637,5.7794
97-MFCC.csv,0.15037818,5.968159
98-MFCC.csv,4.50714,6.592538
99-MFCC.csv,5.843626,9.327494
