Filename,UMAP_1,UMAP_2,UMAP_3
01-MFCC.csv,6.134583,6.2893558,4.8561
02-MFCC.csv,5.7183404,6.633581,4.5694456
03-MFCC.csv,7.9702044,4.411615,6.528537
04-MFCC.csv,8.244386,4.0597444,5.4477615
05-MFCC.csv,7.2726407,7.2079105,3.2180755
06-MFCC.csv,8.383615,3.5034204,5.759568
07-MFCC.csv,7.400135,5.264375,4.3686166
08-MFCC.csv,7.3325744,4.5341363,6.260452
09-MFCC.csv,7.0477514,6.90917,2.9078805
10-MFCC.csv,7.9624557,3.2253516,5.5369062
100-MFCC.csv,6.874276,7.2510076,2.7615952
101-MFCC.csv,7.3886147,5.252318,4.363264
102-MFCC.csv,8.457698,2.1050653,5.369208
103-MFCC.csv,7.910102,4.5375385,6.5686755
104-MFCC.csv,7.0175357,3.8892264,4.9516096
105-MFCC.csv,8.634428,1.9790595,5.3428617
106-MFCC.csv,8.092549,4.929641,4.5886226
107-MFCC.csv,6.282069,6.635329,5.1721654
108-MFCC.csv,6.389065,6.425512,4.880789
109-MFCC.csv,8.732211,3.735233,5.8281474
11-MFCC.csv,8.083684,3.6193147,5.0058475
110-MFCC.csv,8.254468,4.532667,4.225636
111-MFCC.csv,7.1747737,7.693474,2.8744762
112-MFCC.csv,7.9783564,2.2719176,5.389471
113-MFCC.csv,8.413493,2.811422,5.0828714
114-MFCC.csv,6.712603,4.437167,5.480301
115-MFCC.csv,8.400725,4.775151,4.2298794
116-MFCC.csv,6.811204,6.739369,3.8242188
12-MFCC.csv,8.87708,3.248356,5.389417
13-MFCC.csv,8.3460655,1.9018741,4.947602
14-MFCC.csv,7.408306,3.5205564,5.1613765
15-MFCC.csv,7.832233,4.3835087,4.7790604
16-MFCC.csv,5.647707,6.7104545,4.7499666
17-MFCC.csv,5.531057,6.5153565,4.572101
18-MFCC.csv,7.359709,7.514936,3.0487711
19-MFCC.csv,8.193856,3.8721175,5.467424
20-MFCC.csv,7.561366,4.437881,6.485398
21-MFCC.csv,7.3432126,4.0474086,4.456531
22-MFCC.csv,7.465235,4.060081,4.801811
23-MFCC.csv,8.548439,4.900272,3.9983668
24-MFCC.csv,8.520723,3.0055804,4.9395595
25-MFCC.csv,8.3464365,4.2290783,5.135997
26-MFCC.csv,6.9295044,7.3704243,3.182138
27-MFCC.csv,6.3400345,6.5909433,4.49029
28-MFCC.csv,7.5891623,6.8752236,3.520419
29-MFCC.csv,6.9084024,7.067517,2.8287177
30-MFCC.csv,7.9011817,4.527192,5.3195653
31-MFCC.csv,6.2511907,5.922912,4.9958563
32-MFCC.csv,8.729866,2.4102345,4.6349406
33-MFCC.csv,8.461999,1.7928469,4.7487907
34-MFCC.csv,6.7994776,4.049153,5.245923
35-MFCC.csv,6.1725526,6.3766212,5.19748
36-MFCC.csv,8.124222,4.1259694,4.3666387
37-MFCC.csv,7.3043904,4.1592164,5.1945877
38-MFCC.csv,8.419122,2.096322,5.2109704
39-MFCC.csv,8.275043,2.5607395,5.4549336
40-MFCC.csv,8.631749,3.8448532,4.285365
41-MFCC.csv,8.116107,2.0486197,5.49977
42-MFCC.csv,8.2358675,2.642506,4.920947
43-MFCC.csv,7.720342,2.6770496,5.321283
44-MFCC.csv,8.129595,4.5384507,6.6917653
45-MFCC.csv,6.1759043,6.2607756,4.5765095
46-MFCC.csv,7.220609,6.9929543,3.2488282
47-MFCC.csv,8.049605,3.6432385,6.0891094
48-MFCC.csv,7.596044,3.2760053,4.6649804
49-MFCC.csv,8.467524,3.2037725,5.581058
50-MFCC.csv,7.188325,6.9511433,3.5465913
51-MFCC.csv,7.294156,7.2108526,2.6449118
52-MFCC.csv,8.577642,3.8341951,5.2802854
53-MFCC.csv,7.2412815,4.541675,5.9532566
54-MFCC.csv,7.6937003,3.9214149,4.671586
55-MFCC.csv,7.067496,4.1316385,4.8571973
56-MFCC.csv,8.665889,2.2411344,4.8349037
57-MFCC.csv,7.288904,3.6358318,4.488315
58-MFCC.csv,7.169414,4.4113317,4.2376213
59-MFCC.csv,7.6339025,7.151816,3.0133781
60-MFCC.csv,7.962149,4.425681,4.26224
61-MFCC.csv,6.419089,5.9466357,4.966145
62-MFCC.csv,8.766789,2.738863,5.008722
63-MFCC.csv,7.478528,7.321682,2.8212361
64-MFCC.csv,8.4435835,4.5379004,5.518037
65-MFCC.csv,7.317213,4.3217096,4.072382
66-MFCC.csv,7.364212,6.411579,3.4098997
67-MFCC.csv,7.0977826,6.6013947,3.4774961
68-MFCC.csv,6.9608493,3.9990275,4.6178026
69-MFCC.csv,7.480106,4.6119165,5.9559855
70-MFCC.csv,8.482958,3.9442987,5.8557944
71-MFCC.csv,7.192431,4.4034514,4.4388375
72-MFCC.csv,8.207928,2.3230693,4.6396117
73-MFCC.csv,8.67955,3.9285517,5.4369626
74-MFCC.csv,8.303349,4.200516,6.162631
75-MFCC.csv,5.8521514,6.3928657,4.98635
76-MFCC.csv,8.799081,3.4666781,5.940673
77-MFCC.csv,8.359662,1.9021515,4.728632
78-MFCC.csv,7.6010213,4.7173405,6.3384876
79-MFCC.csv,8.8489065,2.9351337,4.863936
