Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18
01-MFCC.csv,4.908119,5.787939,1.3148,4.4847283,7.7845306,4.6374435,6.159228,4.2807875,6.6310563,2.7864761,4.02966,4.5259237,6.878253,4.354729,5.106871,6.3128448,6.07122,4.6801996
02-MFCC.csv,5.1513786,5.689099,1.178877,4.5661583,8.015232,4.7310615,5.8793755,4.2972517,6.3902764,2.6317277,4.0600734,4.6123414,7.1009717,3.9241004,5.3160524,6.410114,6.085356,4.585481
03-MFCC.csv,4.465436,5.894318,2.403823,3.4133813,7.2217665,5.6560087,6.9109592,4.0404186,5.683811,2.2120712,4.3891935,5.6662383,7.9165974,4.645928,5.841669,4.461939,7.6875567,2.7734375
04-MFCC.csv,4.37228,5.802243,2.78191,3.4205256,6.631075,5.5422153,7.205185,3.4389818,5.84271,2.446958,4.435007,5.775678,7.444769,4.5296545,5.4851365,4.6256523,7.743705,2.8804734
05-MFCC.csv,4.9402323,5.501987,1.4348221,4.1176887,7.181553,4.553741,6.6369615,3.6547742,6.712421,2.6722345,4.475537,5.020787,6.091435,3.9155617,4.9624095,5.886518,6.419612,4.1258
06-MFCC.csv,4.43578,5.995194,2.8523927,3.3525343,6.861592,5.677327,7.2272925,3.4389763,5.9597945,2.5044441,4.552209,5.9414945,7.375368,4.7054434,5.5402775,4.949636,7.789432,3.0319939
07-MFCC.csv,4.6854825,5.773388,2.4139183,3.7540705,6.7748003,5.176009,6.864397,3.5352306,6.2734365,2.579142,4.4589005,5.346282,6.8353677,4.297554,5.0797286,5.233004,7.1583896,3.5593607
08-MFCC.csv,4.3370852,5.8340006,2.1938727,3.6511068,7.105355,5.473989,6.6508207,4.246719,6.093388,2.235689,4.0971274,5.4239855,7.755375,4.701331,5.665754,4.715569,7.4305396,2.8543518
09-MFCC.csv,4.81054,5.376774,1.403549,4.1550856,7.3262863,4.640626,6.490738,3.5609922,6.692711,2.6505084,4.642416,4.9577518,6.141856,4.027943,4.994596,6.216889,6.4249864,4.2159424
10-MFCC.csv,4.4378257,6.239177,2.8270197,3.4667306,7.138403,5.6176457,7.3520026,3.4847555,5.7855806,2.4131885,4.8227935,5.901325,7.6335373,4.581998,5.6417084,4.899495,7.719574,2.9419587
100-MFCC.csv,4.7272882,5.4774976,1.378898,4.1184773,7.1910257,4.519119,6.450634,3.729966,6.835057,2.6305745,4.6501784,4.823748,6.019261,4.1537604,4.8362246,6.110538,6.305126,4.3000755
101-MFCC.csv,4.748777,5.762883,2.393681,3.7868814,6.7331405,5.1596465,6.833928,3.5845387,6.294172,2.5966084,4.4304147,5.25582,6.7431655,4.2122784,4.980991,5.2242885,7.1066737,3.634559
102-MFCC.csv,4.564326,6.4302645,3.3608663,3.2444336,6.843543,5.84883,7.914845,3.024233,5.403017,2.6301844,5.1725917,6.041264,7.368184,4.6593895,5.550975,4.8191276,8.03142,3.1282628
103-MFCC.csv,4.423737,5.8238935,2.2791152,3.5197563,7.180169,5.5241914,6.792255,4.1820884,5.7701235,2.1881342,4.264375,5.522264,7.8889885,4.572283,5.758272,4.505139,7.5794706,2.808103
104-MFCC.csv,4.8105907,6.0886025,2.8074503,3.4734018,6.5964804,5.343547,6.9644556,3.6944213,5.7074056,2.3666167,4.782476,5.1998386,7.219966,4.298259,5.1799836,4.449499,7.4601173,3.4039843
105-MFCC.csv,4.5863194,6.470174,3.3616529,3.2239099,6.9409103,5.830376,7.9468327,2.9594185,5.3580413,2.6132696,5.297593,6.0899587,7.4212427,4.64882,5.599138,4.8136144,8.044319,3.118785
106-MFCC.csv,4.6548595,5.771134,2.5472093,3.5314515,6.9494863,5.253385,7.0526237,3.1695988,6.1990857,2.537007,4.7420487,5.754,6.967262,4.4301524,5.3551235,5.323478,7.422903,3.3972704
107-MFCC.csv,4.864241,5.828604,1.4052129,4.5061016,7.8007503,4.686421,6.1354113,4.37892,6.59808,2.6777844,3.9843984,4.5261025,6.956046,4.432274,5.1393924,6.266622,6.152265,4.5956473
108-MFCC.csv,4.9120507,5.813499,1.3331108,4.533148,7.8275695,4.655342,6.11205,4.3379135,6.612459,2.760829,3.9754312,4.4977555,6.929933,4.363922,5.1257644,6.3379083,6.070292,4.695927
109-MFCC.csv,4.311784,6.01464,3.0039897,3.3394601,6.754862,5.7452383,7.437644,3.263249,5.9032736,2.6190293,4.5649467,6.114165,7.3919573,4.827919,5.5802765,4.925365,7.901454,2.9178128
11-MFCC.csv,4.5723653,5.964044,2.932864,3.3645499,6.537679,5.486347,7.2856927,3.3901567,5.6043725,2.455732,4.708774,5.53568,7.322055,4.432993,5.3612127,4.4884653,7.6811833,3.161651
110-MFCC.csv,4.7039123,5.7756176,2.3245091,3.6556015,7.1230216,5.0549965,6.982976,3.2523944,6.174418,2.5216238,4.814742,5.5987787,7.0052714,4.344665,5.3607755,5.3801517,7.2361946,3.524138
111-MFCC.csv,4.832447,5.3263617,1.0809953,4.1468244,7.2325006,4.3478994,6.579146,3.6635895,6.9154944,2.7114794,4.5736012,4.807977,5.815874,3.8916063,4.8789086,6.179042,6.2497325,4.2682753
112-MFCC.csv,4.571613,6.628009,3.3589602,3.2124755,7.024182,5.910525,7.7570972,3.301377,5.4472356,2.5105987,5.190842,5.91838,7.506142,4.7128415,5.545078,4.7895546,7.9006085,3.157007
113-MFCC.csv,4.6251397,6.3205333,3.0195632,3.2369206,7.1668177,5.715616,7.512875,3.381611,5.362832,2.4476755,5.1620684,6.0030675,7.7098856,4.639824,5.744919,4.5415945,7.9466558,3.0272834
114-MFCC.csv,4.6784782,5.9182334,2.209751,3.5855484,7.264453,5.4477663,6.609741,4.3146353,5.7423167,2.2038708,4.353194,5.243602,7.7283096,4.4447155,5.5937953,4.5899744,7.3467126,3.2293591
115-MFCC.csv,4.70594,5.850773,2.5287235,3.5295217,7.122889,5.1919503,7.169854,3.084152,6.051716,2.5228415,4.9753094,5.794122,7.0684543,4.35662,5.441864,5.3061333,7.438673,3.4159348
